Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,Use,Projected
Todd Gurley II,11503310,RB/FLEX,9800,GB@LAR 10/28/2018 04:25PM ET,LAR,1,28.94
Saquon Barkley,11503568,RB/FLEX,8800,WAS@NYG 10/28/2018 01:00PM ET,NYG,1,28.9
Adam Thielen,11503360,WR/FLEX,8700,NO@MIN 10/28/2018 08:20PM ET,MIN,1,26.33
Tyreek Hill,11503481,WR/FLEX,8600,DEN@KC 10/28/2018 01:00PM ET,KC,1,18.03
Antonio Brown,11502979,WR/FLEX,8500,CLE@PIT 10/28/2018 01:00PM ET,PIT,1,21.48
A.J. Green,11502992,WR/FLEX,8000,TB@CIN 10/28/2018 01:00PM ET,CIN,1,20.74
Mike Evans,11503173,WR/FLEX,7800,TB@CIN 10/28/2018 01:00PM ET,TB,1,19.31
James Conner,11503386,RB/FLEX,7500,CLE@PIT 10/28/2018 01:00PM ET,PIT,1,22.65
Alvin Kamara,11503430,RB/FLEX,7400,NO@MIN 10/28/2018 08:20PM ET,NO,1,29.09
Michael Thomas,11503267,WR/FLEX,7300,NO@MIN 10/28/2018 08:20PM ET,NO,1,22.98
Kareem Hunt,11503400,RB/FLEX,7100,DEN@KC 10/28/2018 01:00PM ET,KC,1,22.49
Patrick Mahomes,11503526,QB,7000,DEN@KC 10/28/2018 01:00PM ET,KC,1,29.6
Brandin Cooks,11503234,WR/FLEX,6900,GB@LAR 10/28/2018 04:25PM ET,LAR,1,20.85
Robert Woods,11503119,WR/FLEX,6800,GB@LAR 10/28/2018 04:25PM ET,LAR,1,22.28
Tyler Boyd,11503384,WR/FLEX,6700,TB@CIN 10/28/2018 01:00PM ET,CIN,1,18.03
David Johnson,11503102,RB/FLEX,6700,SF@ARI 10/28/2018 04:25PM ET,ARI,1,15.58
Andrew Luck,11503002,QB,6300,IND@OAK 10/28/2018 04:05PM ET,IND,1,20.89
Andy Dalton,11502903,QB,6200,TB@CIN 10/28/2018 01:00PM ET,CIN,1,18.8
Marlon Mack,11503530,RB/FLEX,5400,IND@OAK 10/28/2018 04:05PM ET,IND,1,7.45
Joe Flacco,11502865,QB,5300,BAL@CAR 10/28/2018 01:00PM ET,BAL,1,18.62
Phillip Lindsay,11503402,RB/FLEX,5200,DEN@KC 10/28/2018 01:00PM ET,DEN,1,11.19
Alex Smith,11502866,QB,5000,WAS@NYG 10/28/2018 01:00PM ET,WAS,1,16.25
Demaryius Thomas,11502926,WR/FLEX,4900,DEN@KC 10/28/2018 01:00PM ET,DEN,1,14.33
Adrian Peterson,11502883,RB/FLEX,4900,WAS@NYG 10/28/2018 01:00PM ET,WAS,1,14.5
Eric Ebron,11503213,TE/FLEX,4900,IND@OAK 10/28/2018 04:05PM ET,IND,1,17.85
Trey Burton,11503085,TE/FLEX,4800,NYJ@CHI 10/28/2018 01:00PM ET,CHI,1,17.32
Mike Davis,11503304,RB/FLEX,3600,SEA@DET 10/28/2018 01:00PM ET,SEA,1,12.07
Patriots ,11502837,DST,3500,NE@BUF 10/29/2018 08:15PM ET,NE,1,14.22
Cardinals ,11502841,DST,3200,SF@ARI 10/28/2018 04:25PM ET,ARI,1,15.56
Benjamin Watson,11502877,TE/FLEX,3100,NO@MIN 10/28/2018 08:20PM ET,NO,1,9.33
Ricky Seals-Jones,11503392,TE/FLEX,3000,SF@ARI 10/28/2018 04:25PM ET,ARI,1,7
Redskins ,11502846,DST,2700,WAS@NYG 10/28/2018 01:00PM ET,WAS,1,13.36
